date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:43	182/182	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Sep%202021%2019:16:41%20GMT	https://www.histag-schaumburg.de/robots.txt		(from )
15:16:43	7573/7573	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:40%20GMT	https://www.histag-schaumburg.de/	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/index.html	(from )
15:16:43	391/391	---M--	200	added ('OK')	text/css	etag:%2213802d-187-412deea03cd40%22	https://www.histag-schaumburg.de/data/simple.css	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/simple.css	(from https://www.histag-schaumburg.de/)
15:16:44	26736/26736	---M--	200	added ('OK')	text/css	etag:%2213802e-6870-45d4a163e7e40%22	https://www.histag-schaumburg.de/data/style.css	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/style.css	(from https://www.histag-schaumburg.de/)
15:16:45	734/734	---M--	200	added ('OK')	text/css	etag:%2213802b-2de-43a0198a26340%22	https://www.histag-schaumburg.de/data/print.css	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/print.css	(from https://www.histag-schaumburg.de/)
15:16:46	289/289	---M--	200	added ('OK')	application/x-javascript	etag:%2213802f-121-3e7d651f28d80%22	https://www.histag-schaumburg.de/data/targetblank.js	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/targetblank.js	(from https://www.histag-schaumburg.de/)
15:16:47	43/43	---M--	200	added ('OK')	image/gif	etag:%22138030-2b-3d7f40b32c280%22	https://www.histag-schaumburg.de/data/transparent.gif	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/transparent.gif	(from https://www.histag-schaumburg.de/)
15:16:49	8770/8770	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:46%20GMT	https://www.histag-schaumburg.de/page/page_ID/9?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/9d546.html	(from https://www.histag-schaumburg.de/)
15:16:50	9543/9543	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:47%20GMT	https://www.histag-schaumburg.de/page/page_ID/60?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/60d546.html	(from https://www.histag-schaumburg.de/)
15:16:51	13821/13821	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:48%20GMT	https://www.histag-schaumburg.de/page/page_ID/182?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/182d546.html	(from https://www.histag-schaumburg.de/)
15:16:52	7573/7573	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:49%20GMT	https://www.histag-schaumburg.de/page/page_ID/1?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/1d546.html	(from https://www.histag-schaumburg.de/)
15:16:53	7213/7213	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:50%20GMT	https://www.histag-schaumburg.de/page/page_ID/57?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/57d546.html	(from https://www.histag-schaumburg.de/)
15:16:54	6485/6485	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:51%20GMT	https://www.histag-schaumburg.de/page/page_ID/58?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/58d546.html	(from https://www.histag-schaumburg.de/)
15:16:55	8648/8648	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:52%20GMT	https://www.histag-schaumburg.de/page/page_ID/59?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/59d546.html	(from https://www.histag-schaumburg.de/)
15:16:56	7145/7145	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:53%20GMT	https://www.histag-schaumburg.de/page/page_ID/68?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/68d546.html	(from https://www.histag-schaumburg.de/)
15:16:57	28036/28036	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:54%20GMT	https://www.histag-schaumburg.de/page/page_ID/92?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/92d546.html	(from https://www.histag-schaumburg.de/)
15:16:58	5949/5949	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:55%20GMT	https://www.histag-schaumburg.de/page/page_ID/93?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/93d546.html	(from https://www.histag-schaumburg.de/)
15:16:58	57336/57336	---M--	200	added ('OK')	image/jpeg	etag:%2213a07e-dff8-43a163c49be80%22	https://www.histag-schaumburg.de/data/pool/d358751050_597.jpg	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d358751050_597.jpg	(from https://www.histag-schaumburg.de/)
15:16:59	560/560	---M--	200	added ('OK')	image/gif	etag:%2213801a-230-4350ca55c1e40%22	https://www.histag-schaumburg.de/data/button_search.gif?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/button_searchd546.gif	(from https://www.histag-schaumburg.de/)
15:17:01	25501/25501	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:58%20GMT	https://www.histag-schaumburg.de/page/page_ID/71?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/71d546.html	(from https://www.histag-schaumburg.de/page/page_ID/57?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
15:17:02	6447/6447	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:16:59%20GMT	https://www.histag-schaumburg.de/page/page_ID/179?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/179d546.html	(from https://www.histag-schaumburg.de/page/page_ID/57?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
15:17:03	10141/10141	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:17:00%20GMT	https://www.histag-schaumburg.de/page/page_ID/72?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/72d546.html	(from https://www.histag-schaumburg.de/page/page_ID/57?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
15:17:04	6026/6026	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:17:01%20GMT	https://www.histag-schaumburg.de/page/page_ID/73?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/73d546.html	(from https://www.histag-schaumburg.de/page/page_ID/57?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
